pipeline_id,total_tasks,failed_tasks,stage_count,task_failure_rate
pipe-twvlx,1,1.0,1.0,1.0
pipe-twwfo,1,0.0,1.0,0.0
pipe-txnem,1,0.0,1.0,0.0
pipe-tyifw,1,0.0,1.0,0.0
pipe-tyvgk,1,1.0,1.0,1.0
pipe-uamgi,1,1.0,1.0,1.0
pipe-uaykt,1,0.0,1.0,0.0
pipe-ubrhc,1,0.0,1.0,0.0
pipe-ubslj,1,0.0,1.0,0.0
pipe-ubtir,1,0.0,1.0,0.0
pipe-ucaqt,1,1.0,1.0,1.0
pipe-ucbhl,1,0.0,1.0,0.0
pipe-ucwas,1,0.0,1.0,0.0
pipe-udbkv,1,0.0,1.0,0.0
pipe-uenbh,1,0.0,1.0,0.0
pipe-uerzm,1,0.0,1.0,0.0
pipe-ueszi,1,0.0,1.0,0.0
pipe-ueuwt,1,1.0,1.0,1.0
pipe-uevff,1,0.0,1.0,0.0
pipe-ugbhe,1,0.0,1.0,0.0
pipe-uhmws,1,0.0,1.0,0.0
pipe-uirqw,1,1.0,1.0,1.0
pipe-ujoql,1,0.0,1.0,0.0
pipe-ujrok,1,0.0,1.0,0.0
pipe-ujzrh,1,0.0,1.0,0.0
pipe-ukrfd,1,0.0,1.0,0.0
pipe-ulklm,1,0.0,1.0,0.0
pipe-umgew,1,0.0,1.0,0.0
pipe-uoert,1,0.0,1.0,0.0
pipe-uoihp,1,0.0,1.0,0.0
pipe-uoldy,1,0.0,1.0,0.0
pipe-uongc,1,0.0,1.0,0.0
pipe-uoqyt,1,0.0,1.0,0.0
pipe-uosho,1,0.0,1.0,0.0
pipe-uqinf,1,0.0,1.0,0.0
pipe-uqmer,1,0.0,1.0,0.0
pipe-urepe,1,0.0,1.0,0.0
pipe-ureyw,1,1.0,1.0,1.0
pipe-urtjy,1,1.0,1.0,1.0
pipe-ushfb,1,0.0,1.0,0.0
pipe-utbem,1,0.0,1.0,0.0
pipe-utxvq,1,0.0,1.0,0.0
pipe-uwwkj,1,0.0,1.0,0.0
pipe-uxgdg,1,1.0,1.0,1.0
pipe-uzcwq,1,0.0,1.0,0.0
pipe-vabil,1,1.0,1.0,1.0
pipe-vacaa,1,0.0,1.0,0.0
pipe-vawec,1,1.0,1.0,1.0
pipe-vazqa,1,0.0,1.0,0.0
pipe-vbbls,1,0.0,1.0,0.0
pipe-vcsbx,1,0.0,1.0,0.0
pipe-vdpsk,1,0.0,1.0,0.0
pipe-vduvo,1,0.0,1.0,0.0
pipe-vfypn,1,0.0,1.0,0.0
pipe-vgmxj,1,1.0,1.0,1.0
pipe-viihu,1,1.0,1.0,1.0
pipe-vjhhl,1,0.0,1.0,0.0
pipe-vjyux,1,1.0,1.0,1.0
pipe-vkyvg,1,1.0,1.0,1.0
pipe-vltsq,1,0.0,1.0,0.0
pipe-vnwrh,1,1.0,1.0,1.0
pipe-vpvww,1,0.0,1.0,0.0
pipe-vqpsk,1,0.0,1.0,0.0
pipe-vrguf,1,0.0,1.0,0.0
pipe-vstuq,1,0.0,1.0,0.0
pipe-vsuxs,1,0.0,1.0,0.0
pipe-vtblv,1,1.0,1.0,1.0
pipe-vtyqs,1,0.0,1.0,0.0
pipe-vvqkw,1,0.0,1.0,0.0
pipe-vxzhp,1,0.0,1.0,0.0
pipe-wbicd,1,0.0,1.0,0.0
pipe-wccin,1,0.0,1.0,0.0
pipe-wdbdc,1,1.0,1.0,1.0
pipe-wdisl,1,0.0,1.0,0.0
pipe-wdrgk,1,1.0,1.0,1.0
pipe-wedkv,1,0.0,1.0,0.0
pipe-welkp,1,0.0,1.0,0.0
pipe-weypz,1,1.0,1.0,1.0
pipe-wfawl,1,0.0,1.0,0.0
pipe-wgmrr,1,0.0,1.0,0.0
pipe-whcxe,1,0.0,1.0,0.0
pipe-whrxa,1,0.0,1.0,0.0
pipe-wjfsi,1,1.0,1.0,1.0
pipe-wjnqk,1,1.0,1.0,1.0
pipe-wkevp,1,0.0,1.0,0.0
pipe-wkypi,1,1.0,1.0,1.0
pipe-wlamh,1,0.0,1.0,0.0
pipe-wlana,1,0.0,1.0,0.0
pipe-wlbef,1,0.0,1.0,0.0
pipe-wmbdt,1,0.0,1.0,0.0
pipe-wnaee,1,0.0,1.0,0.0
pipe-wnjaq,1,0.0,1.0,0.0
pipe-wozel,1,0.0,1.0,0.0
pipe-wpmcy,1,0.0,1.0,0.0
pipe-wppue,1,0.0,1.0,0.0
pipe-wpwyz,1,0.0,1.0,0.0
pipe-wuyzf,1,0.0,1.0,0.0
pipe-wvflc,1,0.0,1.0,0.0
pipe-wvrfv,1,1.0,1.0,1.0
pipe-wwcso,1,0.0,1.0,0.0
pipe-wwjcd,1,0.0,1.0,0.0
pipe-wwmke,1,0.0,1.0,0.0
pipe-wwzke,1,0.0,1.0,0.0
pipe-wxayp,1,0.0,1.0,0.0
pipe-wzayg,1,0.0,1.0,0.0
pipe-wzwca,1,1.0,1.0,1.0
pipe-xaceo,1,0.0,1.0,0.0
pipe-xbplr,1,1.0,1.0,1.0
pipe-xbpne,1,0.0,1.0,0.0
pipe-xdiib,1,1.0,1.0,1.0
pipe-xdqqq,1,0.0,1.0,0.0
pipe-xdtvz,1,0.0,1.0,0.0
pipe-xflhu,1,0.0,1.0,0.0
pipe-xgjhc,1,0.0,1.0,0.0
pipe-xherz,1,0.0,1.0,0.0
pipe-xhuhv,1,0.0,1.0,0.0
pipe-xiexg,1,0.0,1.0,0.0
pipe-xiqrt,1,1.0,1.0,1.0
pipe-xjllt,1,1.0,1.0,1.0
pipe-xkyez,1,0.0,1.0,0.0
pipe-xpgug,1,0.0,1.0,0.0
pipe-xpuzg,1,0.0,1.0,0.0
pipe-xqbzs,1,0.0,1.0,0.0
pipe-xqkox,1,1.0,1.0,1.0
pipe-xroba,1,0.0,1.0,0.0
pipe-xrurf,1,0.0,1.0,0.0
pipe-xsizo,1,0.0,1.0,0.0
pipe-xteyb,1,0.0,1.0,0.0
pipe-xuxhv,1,1.0,1.0,1.0
pipe-xvipd,1,1.0,1.0,1.0
pipe-xxapy,1,0.0,1.0,0.0
pipe-xxckm,1,0.0,1.0,0.0
pipe-xxmzc,1,1.0,1.0,1.0
pipe-xysln,1,1.0,1.0,1.0
pipe-xyxmg,1,0.0,1.0,0.0
pipe-xzvcm,1,0.0,1.0,0.0
pipe-yabfb,1,0.0,1.0,0.0
pipe-ybguf,1,0.0,1.0,0.0
pipe-ybrfs,1,0.0,1.0,0.0
pipe-ycykz,1,0.0,1.0,0.0
pipe-ydxpm,1,0.0,1.0,0.0
pipe-yeolz,1,0.0,1.0,0.0
pipe-yffmr,1,1.0,1.0,1.0
pipe-ygmmy,1,0.0,1.0,0.0
pipe-ygssv,1,0.0,1.0,0.0
pipe-yicpe,1,0.0,1.0,0.0
pipe-yicwc,1,0.0,1.0,0.0
pipe-yiolb,1,1.0,1.0,1.0
pipe-yjagc,1,0.0,1.0,0.0
pipe-yjiju,1,0.0,1.0,0.0
pipe-ykfjf,1,0.0,1.0,0.0
pipe-ymmrt,1,0.0,1.0,0.0
pipe-ymzmc,1,0.0,1.0,0.0
pipe-ynaeh,1,0.0,1.0,0.0
pipe-yoosq,1,0.0,1.0,0.0
pipe-ysfos,1,0.0,1.0,0.0
pipe-ysiuv,1,0.0,1.0,0.0
pipe-ysule,1,0.0,1.0,0.0
pipe-ytdyv,1,0.0,1.0,0.0
pipe-ytynx,1,1.0,1.0,1.0
pipe-yvmol,1,0.0,1.0,0.0
pipe-yxjbc,1,0.0,1.0,0.0
pipe-yyebz,1,0.0,1.0,0.0
pipe-yzard,1,0.0,1.0,0.0
pipe-zbbks,1,0.0,1.0,0.0
pipe-zbsjf,1,1.0,1.0,1.0
pipe-zbxmg,1,0.0,1.0,0.0
pipe-zbyis,1,0.0,1.0,0.0
pipe-zcluw,1,1.0,1.0,1.0
pipe-zenpw,1,1.0,1.0,1.0
pipe-zewcw,1,0.0,1.0,0.0
pipe-zfnbc,1,0.0,1.0,0.0
pipe-zgxib,1,0.0,1.0,0.0
pipe-zhfnj,1,0.0,1.0,0.0
pipe-zikot,1,0.0,1.0,0.0
pipe-ziktq,1,0.0,1.0,0.0
pipe-zjjzu,1,1.0,1.0,1.0
pipe-zjyzl,1,1.0,1.0,1.0
pipe-zlkrt,1,1.0,1.0,1.0
pipe-zlwfu,1,0.0,1.0,0.0
pipe-zmlfh,1,0.0,1.0,0.0
pipe-zmphe,1,0.0,1.0,0.0
pipe-znyao,1,0.0,1.0,0.0
pipe-zpisz,1,0.0,1.0,0.0
pipe-zplnz,1,1.0,1.0,1.0
pipe-zpsyu,1,1.0,1.0,1.0
pipe-zqrtq,1,0.0,1.0,0.0
pipe-zqvqw,1,0.0,1.0,0.0
pipe-zsliz,1,1.0,1.0,1.0
pipe-zssax,1,0.0,1.0,0.0
pipe-ztgbd,1,1.0,1.0,1.0
pipe-zthgz,1,0.0,1.0,0.0
pipe-ztvjv,1,0.0,1.0,0.0
pipe-zujsv,1,0.0,1.0,0.0
pipe-zulqj,1,0.0,1.0,0.0
pipe-zuuqr,1,0.0,1.0,0.0
pipe-zvkjb,1,0.0,1.0,0.0
